PaperID,Abstract,Category
32,"With the deepening application of artificial intelligence in the field of education, teaching quality evaluation has become the key to improving educational effectiveness. In order to quantify the effectiveness of knowledge transmission and mastery in digital media teaching, this paper proposes an improved Bayesian knowledge tracking model (BF-BKT), which has been specifically optimized for teaching quality evaluation. The motivation stems from the shortcomings of existing technology in evaluating teaching quality, especially the lack of effective integration of student learning behavior and forgetting patterns. This article describes the development process of the BF-BKT model, which innovatively combines learning behavior data and forgetting patterns by introducing behavioral forgetting features to more accurately predict studentsâ€™ learning status and teaching effectiveness. The BF-BKT model not only considers whether students have mastered a certain knowledge point, but also further analyzes their forgetting situation at different time points, providing a more comprehensive perspective for evaluating teaching quality. To validate the performance of the BF-BKT model, we compared it with the traditional BKT model and two diverse BKT variants. We conducted systematic experiments and analysis by selecting public datasets as simulation scenarios. The experimental results show that the BF-BKT model performs well in predicting studentsâ€™ knowledge mastery and evaluating teaching quality, and its performance is superior to other comparative methods, proving the effectiveness and superiority of the model. Â© 2013 IEEE.",Education
36,"In the realm of education, understanding the impact of different teaching styles on student engagement and satisfaction is essential. Recent advancements in sentiment analysis provide new avenues for evaluating student feedback, particularly through informal channels such as social media. While formal student evaluations offer structured feedback on teaching styles, they may not fully capture the nuanced opinions and sentiments expressed by students in informal settings, such as social media. This research aims to address the gap by integrating sentiment analysis of social media data to evaluate teaching effectiveness across various styles and comparing it with formal evaluation results. This study employs sentiment analysis using the VADER (Valence Aware Dictionary and sEntiment Reasoner) tool to analyze student posts on social media platforms. The analysis includes the extraction of sentiment distributions, identification of common keywords, and tracking of sentiment trends over time. Additionally, formal student evaluations (Likert scale) are collected to offer a direct comparison. The teaching styles analyzed include lecture-based teaching, project-based learning, flipped classrooms, online learning, hybrid learning, and traditional exam-based learning. The findings demonstrate that student sentiment varies significantly across teaching styles. Flipped classrooms and project-based learning received the highest positive sentiment scores, while traditional exam-based teaching showed the most negative sentiment. Social media feedback tended to align with formal evaluations for certain teaching styles, such as the flipped classroom and hybrid learning but showed divergence in others, like online learning, which received higher sentiment in social media feedback. Trends over time reveal evolving sentiments, with fluctuating satisfaction as the academic semester progressed. The integration of social media sentiment analysis provides a more dynamic and real-time understanding of student experiences, offering deeper insights into teaching style effectiveness. Â© 2025, American Scientific Publishing Group (ASPG). All rights reserved.",Education
38,"The COVID-19 pandemic has forced us to engage in the ubiquitous use of virtual interpreting teaching and learning. The sudden shift of teaching mode has resulted in unplanned challenges. The main concerns among teachers and students include teaching quality and learning effectiveness. To examine the effectiveness of interpreting teaching and learning online, we conducted a survey about students' perceptions of satisfaction concerning online interpreting teaching and learning via an online platform. This survey is composed of questions to measure student satisfaction from six aspects, namely, instructor, technology, setup, interaction, outcomes, and overall. Results showed that the shift to abrupt online interpreting teaching and learning did not have any significant impact on teaching quality and learning effectiveness. Findings also highlighted the need for further investigation of self-regulation and self-directiveness in online interpreting teaching and learning. Essential pedagogical tasks can be conducted online (e.g., triangulation exercises, relays, handover, and channel switching). Implications are provided based on the findings. Â© 2022 Editorial Board TESL - EJ. All rights reserved.",Education
42,"Almost all educational institutions have shifted their academic activities to digital platforms due to the recent COVID-19 epidemic. Because of this, it is very important to assess how well teachers are performing with this new way of online teaching. Educational Data Mining (EDM) is a new field that emerged from using data mining techniques to analyze educational data and making decision based on findings. EDM can be utilized to gain better understanding about students and their learning processes, assist teachers do their academic tasks, and make judgments about how to manage educational system. The primary objective of this study is to uncover the key factors that influence the quality of teaching in a virtual classroom environment. Data is gathered from the studentsâ€™ evaluation of teaching from computer science students of three online semesters at X University. In total, 27622 students participated in these survey. Weka, sentimental analysis, and word cloud generator are applied in the process of carrying out the research. The decision tree classifies the factors affecting the performance of the teachers, and we find that student-faculty relation is the most prominent factor for improving the teaching quality. The sentimental analysis reveals that around 78% of opinions are positive and â€œgoodâ€ is the most frequently used word in the opinions. If the education system is moved online in the future, this research will help figure out what needs to be changed to improve teachersâ€™ overall performance and the quality of their teaching. Â© 2022, Modern Education and Computer Science Press. All rights reserved.",Education
47,"Objective: As an experimental biological science, physiology has been taught as an integralÂ component of medical curricula for a long time in China. The teaching effectiveness of physiology courses will directly affect students' learning of other medical disciplines. The purpose of this study is to investigate the current situation and changes in physiology teaching over 30 years in Chinese medical schools. Methods: National survey was conducted online on the platform SoJump via WeChat and the web. The head of the physiology department in medical school was asked to indicate the information of physiology education from three periods: 1991â€“2000, 2001â€“2010, and 2011â€“2020. The responses of 80 leaders of the Department of Physiology from mainland Chinese medical schools were included in the study for analysis. Results: The survey showed that the class hours, both of theory and practice, had been decreased. During the past 20 years, the total number of physiology teachers, the number of physiology teachers who had been educated in medical schools, and the number of technicians had been reduced, whereas teachers with doctorâ€™s degrees had been increased. In addition to traditional didactic teaching, new teaching approaches, including problem-based learning/case-based learning/team-based learning, integrated curriculum and formative evaluation systems, had been employed, mostly for more than 5 years, in some medical schools. Conclusion: The present study has provided historical data regarding the current status of physiology education in China and that in the past thirty years by showing that physiology education in China has developed quickly,even it faces many challenges. Â© The Author(s) 2024.",Education
60,"With the popularity of the Internet and the advancement of information technology, more and more people are accepting the teaching and sharing of knowledge through the digitalization of information. The widespread adoption of 5G technology has pushed online learning even further into the mainstream. However, because online teaching does not have the drawback of being intuitive like classroom teaching, teachers' assessments of students' learning situations are less accurate. As a result, how to effectively evaluate students' academic performance in the context of 5G wireless network technology is a pressing issue that must be investigated. By processing these heterogeneous large-scale learning records and integrating multiple perspectives to analyze this learning record information to identify students' learning behaviors, this study proposes an integrated analysis algorithm based on artificial intelligence information technology. The possible learning outcomes of students are predicted based on their current learning situation, so teachers can provide auxiliary teaching strategies to students who may have learning difficulties based on the predicted information. The method proposed in this article uses information technology to predict students' grades, and the analysis shows that the method is very effective. In this article, different grades of classification methods are used to analyze and predict the whole students. All grade classification methods are effective in describing decision rules. No matter what grades classification method is used, the error rate of students' grades distribution is predicted to be below 40%.  Â© 2022 Yushu Guan.",Education
63,"There is a growing view in conservation science that traditional ways to evaluate publications, researchers, and projects are too slow. This has led to a rise in the use of altmetrics, which are metrics based on social media data, news pieces, blogs, and more. Here we examine altmetric data linked to nearly 10,000 papers published in 23 conservation journals, exploring five issues that represent some of the challenges associated with using social media data in evaluating conservation. We discuss whether social media activity reflects meaningful engagement, and how easily individuals can manipulate scores by using bots or simply through active personal networks or institutional promotion services. Our analysis shows a highly skewed distribution of altmetric scores where most papers have such low scores that the scores likely convey little meaningful information. Examining scores that would be considered meritorious, we find that papers where the first author was male have higher scores than papers led by a woman, suggesting a gender bias in altmetric scores. Finally, this data set reveals regional differences that correspond with access to different social media platforms. Metrics, like altmetrics, may have a role to play when making rapid evaluations. However, such metrics should only be used after careful deliberation and should not be influenced by institutions looking for shortcuts, by companies looking to advance profits, or by individuals seeking to promote themselves, rather than generating meaningful engagement in scholarship and conservation action. Scholarly and conservation activities should be judged on the quality of their contributions, which will require the input of experts and direct contact with impacted communities. Â© 2022 Wolters Kluwer Medknow Publications. All rights reserved.",Education
64,"According to the European classification of skills, competencies, qualifications, and occupations (ESCO), transversal knowledge, skills, and competencies are pertinent to a wide array of occupations and sectors. Transversal knowledge, skills, and competencies are the foundational elements for developing the â€œhardâ€ skills and competencies necessary for success in the labor market. In this paper, we introduce an online platform for assessing the attainment of transversal and soft skills. This tool allows us to define levels of competency acquisition and measure studentsâ€™ development. The use of these competency levels helps improve the understanding of these skills and the evaluation process. The tool also enhances coordination among courses and teachers. The evaluation process can be established on three different levels: self-evaluation, peer evaluation, and teacher assessment. Developers, students, and teachers have assessed the tool has been developed following a lifecycle of evolutionary prototypes with successive refinements. Â© 2024 by the authors of this article.",Education
67,"Background: Prior research has documented the pervasive influence that peers can exert on adolescentsâ€™ lives. However, knowledge on whether adolescentsâ€™ perceptions of the quality of the teacher's instruction are also prone to peer influences is lacking. Method: This study (N = 248 German adolescents) used longitudinal social network analysis to investigate whether (a) friends become more similar in their teaching quality perceptions (influence effects) and/or whether (b) students with initially more similar perceptions of teaching quality were more likely to become friends (selection effects). We also explored whether (c) students with more positive teaching quality perceptions were better integrated socially. Results: We did not find support for influence or selection effects. However, students who rated their teacher's instruction more positively were better integrated socially. Conclusions: Our work adds to research on the role of peers in adolescence and enhances our understanding of peer influences on studentsâ€™ perceptions of instruction. Â© 2024",Education
69,"Hypothetically, a student could attend a class, listen to lectures, and pass the class without knowing or interacting with other students. What happens to the network when the classroom expectations change? For example, there is a coursework expectation that students exchange contact information, or the instructor uses collaborative learning practices. Or what if the principal investigator (PI) of a scientific team goes on a sabbatical? This study uses the framework of classrooms because of their relatability across science. We asked how do different instructor coursework expectations change network structures within a classroom or other learning environments? A social network survey was administered at the start and end of the semester (pre- and post-test) in six university sociology classrooms to explore how expectations impacted the communication and learning networks. We found practical changes in course expectations impact the communication and learning networks, suggesting that instructors, facilitators, and others could be the archintorTM (architect +instructor+facilitator) of the network. Understanding that expectations can impact a networkâ€™s structure marks a paradigm shift in educational assessment approaches. If the archintorTM has identified the â€œoptimalâ€ network structure, then their task is to design expectations that result in specific interactions that ultimately improve student achievement and success. This work provides recommendations for classroom archintorsTM to create the most impactful classroom networks. Future research should extend beyond education and classroom networks and identify the best or desired networks in other areas like public policy, urban planning, and more. If these â€œoptimalâ€ networks were identified, an archintorTM could design a social network to solve wicked problems, manage a crisis, and create social change. Â© 2023 Love et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",Education
82,"The development of human-computer interactive items in educational assessments provides opportunities to extract useful process information for problem-solving. However, the complex, intensive, and noisy nature of process data makes it challenging to model with the traditional psychometric methods. Social network methods have been appliedÂ to visualize and analyze process data. Nonetheless, research about statistical modeling of process information using social network methods is still limited. This article explored the application of the latent space model (LSM) for analyzing process data in educational assessment. The adjacent matrix of transitions between actions was created based on the weighted and directed network of action sequences and related auxiliary information. Then, the adjacent matrix was modeled with LSM to identify the lower-dimensional latent positions of actions. Three applications based on the results from LSM were introduced: action clustering, error analysis, and performance measurement. The simulation study showed that LSM can cluster actions from the same problem-solving strategy and measure studentsâ€™ performance by comparing their action sequences with the optimal strategy. Finally, we analyzed the empirical data from PISA 2012 as a real case scenario to illustrate how to use LSM. Â© 2022 by the National Council on Measurement in Education.",Education
83,"When using machine-learning techniques to determine algorithms or ranking models that identify student satisfaction, algorithms are often trained and tested on a single data set, leading to bias in their performance metrics. This article aims to identify the best algorithm to classify the satisfaction of university students applying the K-fold cross-validation technique, comparing the error rates of the performance metrics before and after its application. The method used began with the collection of student opinions on the teaching performance of the social network Twitter during an academic semester. Then, sentiment analysis was used for data processing, through which it was possible to categorize the opinions of the students into â€œsatisfiedâ€ or â€œdissatisfied.â€ The results showed that the algorithm with the lowest error rate in its performance metric was the support vector machine (SVM). In addition, it was identified that its classification probability reached an accuracy of 91.76%. It is concluded that SVM classification using K-fold cross-validation will contribute to determining which factors associated with the teacherâ€™s didactic strategies should be improved in each class session, since traditional surveying techniques have shortcomings. Â© 2023 by the authors of this article. Published under CC-BY",Education
84,"The use of social media such as Twitter has gained popularity in education during the COVID-19 pandemic. This study included 22 high-quality peer-reviewed journal articles for the meta-analysis. The authors reveal that there are no significant differences in teaching effectiveness between the Twitter and non-Twitter-assisted learning approaches. Twitter-assisted learning outcomes are significantly higher than the non-Twitter-assisted whether Twitter is used as a supplementary or an integrated tool. Twitter-assisted learning can lead to significantly higher learning outcomes than non-Twitter-assisted learning in the USA, Greece, and Sweden, but no significant difference is revealed in Spain. Swedish users hold significantly positive attitudes towards the use of Twitter in education, but no significant difference is found in the USA. Twitter-assisted learning can cause significantly more engagement than non-Twitter-assisted in the USA, and male learners have significantly higher learning outcomes than females in both the USA and Spain. Â© 2022 Authors. All rights reserved.",Education
86,"In August 2020, the UK government and regulation body Ofqual replaced school examinations with automatically computed A Level grades in England and Wales. This algorithm factored in school attainment in each subject over the previous three years. Government officials initially stated that the algorithm was used to combat grade inflation. After public outcry, teacher assessment grades used instead. Views concerning who was to blame for this scandal were expressed on the social media website Twitter. While previous work used NLP-based opinion mining computational linguistic tools to analyse this discourse, shortcomings included accuracy issues, difficulties in interpretation and limited conclusions on who authors blamed. Thus, we chose to complement this research by analysing 18,239 tweets relating to the A Level algorithm using Corpus Linguistics (CL) and Critical Discourse Analysis (CDA), underpinned by social actor representation. We examined how blame was attributed to different entities who were presented as social actors or having social agency. Through analysing transitivity in this discourse, we found the algorithm itself, the UK government and Ofqual were all implicated as potentially responsible as social actors through active agency, agency metaphor possession and instances of passive constructions. According to our results, students were found to have limited blame through the same analysis. We discuss how this builds upon existing research where the algorithm is implicated and how such a wide range of constructions obscure blame. Methodologically, we demonstrated that CL and CDA complement existing NLP-based computational linguistic tools in researching the 2020 A Level algorithm; however, there is further scope for how these approaches can be used in an iterative manner. Copyright: Â© 2023 Heaton et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",Education
87,"This paper proposes a multidimensional social open model to evaluate the teaching strategies adopted during the COVID-19 pandemic by assessing the decisions made by teachers by a group of teachers acting as evaluators. Based on the analysis of previous studies on teaching, this study aims to propose a formal model for the evaluation of teaching strategies in four dimensions: sustainability, usability, accessibility, and creativity. The use of information technologies to measure teaching strategies can bring decisive advantages. This work has been inspired by social rating systems of social networks to propose a measurement system in which a potential large number of evaluators with different levels assess the strategies. In addition, the proposal also includes the evaluation of the evaluators' own work, assigning confidence levels that are based on their experience but also on their evaluations. In this way, we have a social measurement system, in the sense that participation is open to a large number of evaluators. A large community of teacher evaluators will increase the objectivity of the measurement. The outcome of the system will be a characterization of the teaching strategies that will allow to decide in the future which ones should be adopted according to the needs of each one. Â© The Author(s) 2022.",Education
88,"This research aims to study the effectiveness of online teaching, from student and faculty perspectives, during the Covid-19 Pandemic in higher education institutions across India. Using the Student's Evaluation of Online Teaching Effectiveness (SEOTE) scale, a survey was conducted among 1042 students in different Indian universities. The scale measured student faculty contact (SFC), cooperation among students (CAS), active learning (AL), prompt feedback (PF), time on task (TT), high expectations (HE), and diverse talents and ways of learning (DTWL). The research instrument also included three open-ended questions. The quantitative data were analyzed using descriptive statistics and Human Development Index (HDI). The Online Teaching Effectiveness Index (OTEI) value was moderate at 0.62. Challenging aspects of online education were found to be access, learning experience, technology, resources, and infrastructure, the need for face-to-face interaction, and the health hazards of long screen time. The survey of 60 faculty members recorded online teaching to be sustainable, backed by institute support, flexible, and creates the possibility of peer learning. Lack of training resources, unsuitability of course design and practical courses for online mode, and the need for an overhaul of pedagogy were the challenges. Policymakers and digital companies should include infrastructural changes and investments at both the institutional and digital platforms level. Â© 2023 The Authors. Global Business and Organizational Excellence published by Wiley Periodicals LLC.",Education
89,"Although it is true that artificial intelligence and data science have become key tools that contribute to the improvement of many processes, identifying patterns and contributing to decision making, however, there are environments in which they are not yet being using it relevantly and effectively. The objective of this study is to identify the relevant factors, based on the opinions expressed by the students through the social network Twitter regarding the perception of satisfaction with the teaching performance during the virtual learning environment. For which sentiment analysis and text mining are used under the Python programming language environment, through JupyterLab. As results, it was determined that a predominance of 57.27% of positive polarity, identifying that the relevant factors of student satisfaction with teaching performance, are related to the development of the teacher in the class sessions that contributes to the learning of the process control subject through the use of simulation tools such as simulink and tools linked to proportional integral derivative (PID) controllers; on the other hand, there is a percentage of negative polarity of 15.45% that belongs to the factors linked to the laboratory sessions in which graphic representation and block diagrams were used to explain the class session. Â© 2022 Institute of Advanced Engineering and Science. All rights reserved.",Education
93,"Currently, the data generated in the university environment related to the perception of satisfaction is generated through surveys with categorical response questions defined on a Likert scale, with factors already defined to be evaluated, applied once per academic semester, which generates very biased information. This leads us to wonder why this survey is applied only once and why it only asks about some factors. The objective of the article is to demonstrate the feasibility of a proposal to determine the degree of perception of student satisfaction through the use of data science and natural language processing (NLP), supported by the social network twitter, as an element of data collection. As a result of the application of this proposal based on data science, it was possible to determine the level of student satisfaction, being 57.27%, through sentiment analysis using the Python library ""NLTK""; Thus, it was also possible to extract texts linked to the relevant factors of teaching performance to achieve student satisfaction, through the term frequency and inverse document frequency (TF-IDF) approach, these being those linked to the use of tools of simulation in the virtual learning process. Â© 2022 Institute of Advanced Engineering and Science. All rights reserved.",Education
104,"This paper focuses on the study of automated process discovery using the Inductive visual Miner (IvM) and Directly Follows visual Miner (DFvM) algorithms to produce a valid process model for educational process mining in order to understand and predict the learning behavior of students. These models were evaluated on the publicly available xAPI (Experience API or Experience Application Programming Interface) dataset, which is an education dataset intended for tracking studentsâ€™ classroom activities, participation in online communities, and performance. Experimental results with several performance measures show the effectiveness of the developed process models in helping experts to better understand studentsâ€™ learning behavioral patterns. Â© 2022 by the authors. Licensee MDPI, Basel, Switzerland.",Education
